年度,地區別,蔬菜類別,種植面積,收穫面積,每公頃平均產量,產量,
2014,雲林縣,洋香瓜,395,395,18226,7191,
2014,嘉義縣,洋香瓜,381,381,11884,4528,
2014,屏東縣,洋香瓜,34,34,13137,450,
2014,台東縣,洋香瓜,-,-,-,-,
2014,花蓮縣,洋香瓜,-,-,-,-,
2014,澎湖縣,洋香瓜,42,42,10039,425,
2014,基隆市,洋香瓜,-,-,-,-,
2014,新竹市,洋香瓜,-,-,-,-,
2014,嘉義市,洋香瓜,1,1,6500,5,
2014,金門縣,洋香瓜,-,-,-,-,
2014,連江縣,洋香瓜,-,-,-,-,
2014,新北市,西瓜,50,50,14399,715,
2014,台北市,西瓜,-,-,-,-,
2014,台中市,西瓜,424,424,33933,14394,
2014,台南市,西瓜,2272,2272,13241,30082,
2014,高雄市,西瓜,661,661,14851,9814,
2014,宜蘭縣,西瓜,657,657,27989,18391,
2014,桃園縣,西瓜,240,240,12516,3001,
2014,新竹縣,西瓜,54,54,17218,931,
2014,苗栗縣,西瓜,414,414,14384,5962,
2014,彰化縣,西瓜,363,363,24607,8933,
2014,南投縣,西瓜,2,2,18000,36,
2014,雲林縣,西瓜,1558,1558,22851,35606,
2014,嘉義縣,西瓜,631,631,16830,10612,
2014,屏東縣,西瓜,931,931,16940,15772,
2014,台東縣,西瓜,129,129,22772,2926,
2014,花蓮縣,西瓜,2105,2105,25488,53645,
2014,澎湖縣,西瓜,50,50,8530,429,
2014,基隆市,西瓜,-,-,-,-,
2014,新竹市,西瓜,2,2,16000,30,
2014,嘉義市,西瓜,-,-,-,-,
2014,金門縣,西瓜,3,3,17815,50,
2014,連江縣,西瓜,-,-,-,-,
2014,新北市,香瓜,2,2,7506,13,
2014,台北市,香瓜,0,0,7678,1,
2014,台中市,香瓜,32,32,15558,501,
2014,台南市,香瓜,100,100,13165,1318,
2014,高雄市,香瓜,478,478,13112,6264,
2014,宜蘭縣,香瓜,31,31,14116,441,
2014,桃園縣,香瓜,11,11,6803,78,
2014,新竹縣,香瓜,2,2,13939,23,
2014,苗栗縣,香瓜,38,38,7502,288,
2014,彰化縣,香瓜,215,215,18572,3995,
2014,南投縣,香瓜,3,3,11934,34,
2014,雲林縣,香瓜,463,463,16150,7477,
2014,嘉義縣,香瓜,264,264,11391,3012,
2014,屏東縣,香瓜,285,285,12592,3587,
2014,台東縣,香瓜,0,0,14000,4,
2014,花蓮縣,香瓜,1,1,17257,12,
2014,澎湖縣,香瓜,0,0,8044,3,
2014,基隆市,香瓜,-,-,-,-,
2014,新竹市,香瓜,-,-,-,-,
2014,嘉義市,香瓜,-,-,-,-,
2014,金門縣,香瓜,0,0,14643,5,
2014,連江縣,香瓜,-,-,-,-,
2014,新北市,草莓,0,0,3200,0,
2014,台北市,草莓,1,1,11541,12,
2014,台中市,草莓,5,5,12239,56,
2014,台南市,草莓,2,2,12549,31,
2014,高雄市,草莓,2,2,10216,19,
2014,宜蘭縣,草莓,-,-,-,-,
2014,桃園縣,草莓,1,1,6353,5,
2014,新竹縣,草莓,13,13,9371,120,
2014,苗栗縣,草莓,452,452,18894,8541,
2014,彰化縣,草莓,1,1,4411,3,
2014,南投縣,草莓,13,13,13832,185,
2014,雲林縣,草莓,1,1,6253,5,
2014,嘉義縣,草莓,1,1,7714,11,
2014,屏東縣,草莓,-,-,-,-,
2014,台東縣,草莓,2,2,10903,17,
2014,花蓮縣,草莓,3,3,10068,30,
2014,澎湖縣,草莓,-,-,-,-,
2014,基隆市,草莓,-,-,-,-,
2014,新竹市,草莓,-,-,-,-,
2014,嘉義市,草莓,-,-,-,-,
2014,金門縣,草莓,-,-,-,-,
2014,連江縣,草莓,-,-,-,-,
2014,新北市,其他果菜類,250,250,10406,2600,
2014,台北市,其他果菜類,85,85,8798,748,
2014,台中市,其他果菜類,207,206,13909,2863,
2014,台南市,其他果菜類,1373,1373,15721,21579,
2014,高雄市,其他果菜類,1020,1019,14706,14984,
2014,宜蘭縣,其他果菜類,106,106,16137,1708,
2014,桃園縣,其他果菜類,51,51,13467,691,
2014,新竹縣,其他果菜類,48,48,13268,642,
2014,苗栗縣,其他果菜類,174,173,13848,2399,
2014,彰化縣,其他果菜類,513,513,20781,10670,
2014,南投縣,其他果菜類,1414,1414,14978,21172,
2014,雲林縣,其他果菜類,776,774,21305,16499,
2014,嘉義縣,其他果菜類,1259,1258,12471,15693,
2014,屏東縣,其他果菜類,1607,1607,14528,23350,
2014,台東縣,其他果菜類,306,306,16814,5140,
2014,花蓮縣,其他果菜類,489,488,15261,7454,
2014,澎湖縣,其他果菜類,47,47,11065,522,
2014,基隆市,其他果菜類,5,5,9910,46,
2014,新竹市,其他果菜類,7,7,12218,90,
2014,嘉義市,其他果菜類,24,24,14471,349,
2014,金門縣,其他果菜類,3,3,17047,51,
2014,連江縣,其他果菜類,-,-,-,-,
2013,新北市,蘿蔔,85.12,85.12,17222.9910714286,1466.021,
2013,台北市,蘿蔔,79.31,79.31,9156.67633337536,726.216,
2013,台中市,蘿蔔,107.56,107.56,21760.8776496839,2340.6,
2013,台南市,蘿蔔,325.04,325.04,50776.07063746,16504.254,
2013,高雄市,蘿蔔,254.07,254.07,36864.1516117605,9366.075,
2013,宜蘭縣,蘿蔔,28.41,28.41,27462.3724040831,780.206,
2013,桃園縣,蘿蔔,16.06,16.06,17657.4719800747,283.579,
2013,新竹縣,蘿蔔,25.49,25.49,17261.0827775598,439.985,
2013,苗栗縣,蘿蔔,77.4,77.4,15743.2945736434,1218.531,
2013,彰化縣,蘿蔔,343.2,340.44,39561.872870403,13468.444,
2013,南投縣,蘿蔔,183.41,183.41,16356.987078131,3000.035,
2013,雲林縣,蘿蔔,794.76,794.76,46061.3040414716,36607.682,
2013,嘉義縣,蘿蔔,331.61,331.61,39203.4920539188,13000.27,
2013,屏東縣,蘿蔔,27.75,27.75,16613.3333333333,461.02,
2013,台東縣,蘿蔔,17.35,17.35,24308.9337175793,421.76,
2013,花蓮縣,蘿蔔,25.02,25.02,15915.2677857714,398.2,
2013,澎湖縣,蘿蔔,5.46,5.46,9715.56776556777,53.047,
2013,基隆市,蘿蔔,0.43,0.43,9390.6976744186,4.038,
2013,新竹市,蘿蔔,1.92,1.92,13872.3958333333,26.635,
2013,嘉義市,蘿蔔,0,0,0,0,
2013,金門縣,蘿蔔,2.43,2.43,25544.0329218107,62.072,
2013,連江縣,蘿蔔,0,0,0,0,
2013,新北市,胡蘿蔔,5.25,5.25,13688.9523809524,71.867,
2013,台北市,胡蘿蔔,15.2,15.2,11721.7105263158,178.17,
2013,台中市,胡蘿蔔,9.35,9.35,33588.2352941177,314.05,
2013,台南市,胡蘿蔔,617.39,617.19,64810.5283624168,40000.41,
2013,高雄市,胡蘿蔔,1.3,1.3,34784.6153846154,45.22,
2013,宜蘭縣,胡蘿蔔,0.79,0.79,10848.1012658228,8.57,
2013,桃園縣,胡蘿蔔,0.68,0.68,12633.8235294118,8.591,
2013,新竹縣,胡蘿蔔,2.53,2.53,22221.3438735178,56.22,
2013,苗栗縣,胡蘿蔔,0.86,0.86,16046.511627907,13.8,
2013,彰化縣,胡蘿蔔,660.15,660.15,39092.7698250398,25807.092,
2013,南投縣,胡蘿蔔,0,0,0,0,
2013,雲林縣,胡蘿蔔,1145.94,1145.94,40838.7646822696,46798.774,
2013,嘉義縣,胡蘿蔔,3.03,3.03,25402.6402640264,76.97,
2013,屏東縣,胡蘿蔔,0.2,0.2,19500,3.9,
2013,台東縣,胡蘿蔔,0.1,0.1,19370,1.937,
2013,花蓮縣,胡蘿蔔,1.86,1.86,14345.1612903226,26.682,
2013,澎湖縣,胡蘿蔔,7.95,7.95,10286.2893081761,81.776,
2013,基隆市,胡蘿蔔,0,0,0,0,
2013,新竹市,胡蘿蔔,0.15,0.15,8500,1.275,
2013,嘉義市,胡蘿蔔,0,0,0,0,
2013,金門縣,胡蘿蔔,1.15,1.15,24573.9130434783,28.26,
2013,連江縣,胡蘿蔔,0,0,0,0,
2013,新北市,其他根菜類,0.59,0.59,15000,8.85,
2013,台北市,其他根菜類,0,0,0,0,
2013,台中市,其他根菜類,0.52,0.52,23000,11.96,
2013,台南市,其他根菜類,78.85,78.85,19318.8205453393,1523.289,
2013,高雄市,其他根菜類,86.81,86.81,18841.8500172791,1635.661,
2013,宜蘭縣,其他根菜類,0.05,0.05,17000,0.85,
2013,桃園縣,其他根菜類,1.2,1.2,17250,20.7,
2013,新竹縣,其他根菜類,1.72,1.72,8895.3488372093,15.3,
2013,苗栗縣,其他根菜類,0,0,0,0,
2013,彰化縣,其他根菜類,29.46,29.46,17740.3258655804,522.63,
2013,南投縣,其他根菜類,2.58,2.58,12496.1240310078,32.24,
2013,雲林縣,其他根菜類,139.63,139.63,27463.8115018263,3834.772,
2013,嘉義縣,其他根菜類,200.2,200.2,30828.6713286713,6171.9,
2013,屏東縣,其他根菜類,156.52,156.52,21056.6381293125,3295.785,
2013,台東縣,其他根菜類,0,0,0,0,
2013,花蓮縣,其他根菜類,0,0,0,0,
2013,澎湖縣,其他根菜類,0,0,0,0,
2013,基隆市,其他根菜類,0.04,0.04,11000,0.44,
2013,新竹市,其他根菜類,0.2,0.2,15500,3.1,
2013,嘉義市,其他根菜類,0,0,0,0,
2013,金門縣,其他根菜類,0,0,0,0,
2013,連江縣,其他根菜類,0,0,0,0,
2013,新北市,薑,13.28,13.28,19494.3524096386,258.885,
2013,台北市,薑,2.51,2.51,8300,20.833,
2013,台中市,薑,69.31,69.31,17935.9399798009,1243.14,
2013,台南市,薑,2.57,2.57,12000,30.84,
2013,高雄市,薑,30.61,30.61,23658.2816073179,724.18,
2013,宜蘭縣,薑,48.82,48.82,39204.6292503073,1913.97,
2013,桃園縣,薑,8.41,8.41,34021.4030915577,286.12,
2013,新竹縣,薑,26.64,26.64,16928.6786786787,450.98,
2013,苗栗縣,薑,86.82,86.82,20267.4614144206,1759.621,
2013,彰化縣,薑,0.5,0.5,16000,8,
2013,南投縣,薑,221.35,221.35,42211.3169189067,9343.475,
2013,雲林縣,薑,51.25,51.25,27915.1219512195,1430.65,
2013,嘉義縣,薑,54.73,54.73,20621.067056459,1128.591,
2013,屏東縣,薑,10.75,10.75,16742.3255813953,179.98,
2013,台東縣,薑,193.48,193.48,32268.8598304734,6243.379,
2013,花蓮縣,薑,77.6,77.6,17111.7912371134,1327.875,
2013,澎湖縣,薑,0,0,0,0,
2013,基隆市,薑,0,0,0,0,
2013,新竹市,薑,0,0,0,0,
2013,嘉義市,薑,0,0,0,0,
2013,金門縣,薑,0.04,0.04,22100,0.884,
2013,連江縣,薑,0,0,0,0,
2013,新北市,芋,93.56,93.56,10031.2526720821,938.524,
2013,台北市,芋,0.55,0.55,8800,4.84,
2013,台中市,芋,760.76,760.76,17015.4293075346,12944.658,
2013,台南市,芋,79.65,79.65,21586.252354049,1719.345,
2013,高雄市,芋,55.7,55.7,14197.9533213645,790.826,
2013,宜蘭縣,芋,35.5,35.5,16513.661971831,586.235,
2013,桃園縣,芋,5.32,5.32,15910.7142857143,84.645,
2013,新竹縣,芋,21.01,21.01,14837.6963350785,311.74,
2013,苗栗縣,芋,557.97,557.97,14475.4556696597,8076.87,
2013,彰化縣,芋,28.21,28.21,21406.5934065934,603.88,
2013,南投縣,芋,23.97,23.97,14298.0809345015,342.725,
2013,雲林縣,芋,55.52,55.52,20758.7896253602,1152.528,
2013,嘉義縣,芋,96.31,96.31,16131.907382411,1553.664,
2013,屏東縣,芋,425.36,425.36,18052.597799511,7678.853,
2013,台東縣,芋,124.16,124.16,7080.46875,879.111,
2013,花蓮縣,芋,125.59,125.59,16048.642407835,2015.549,
2013,澎湖縣,芋,0.12,0.12,4800,0.576,
2013,基隆市,芋,0.33,0.33,10090.9090909091,3.33,
2013,新竹市,芋,6.28,6.28,12617.9936305732,79.241,
2013,嘉義市,芋,5.5,5.5,10549.0909090909,58.02,
2013,金門縣,芋,15.86,15.86,25043.94703657,397.197,
2013,連江縣,芋,0,0,0,0,
2013,新北市,馬鈴薯,0,0,0,0,
2013,台北市,馬鈴薯,0,0,0,0,
2013,台中市,馬鈴薯,491.88,491.88,21622.8409368139,10635.843,
2013,台南市,馬鈴薯,112.27,112.27,26024.8508060925,2921.81,
2013,高雄市,馬鈴薯,0.05,0.05,15000,0.75,
2013,宜蘭縣,馬鈴薯,0,0,0,0,
2013,桃園縣,馬鈴薯,0,0,0,0,
2013,新竹縣,馬鈴薯,0,0,0,0,
2013,苗栗縣,馬鈴薯,5.8,5.8,22100,128.18,
2013,彰化縣,馬鈴薯,1.46,1.46,23904.1095890411,34.9,
2013,南投縣,馬鈴薯,1.6,1.6,23000,36.8,
2013,雲林縣,馬鈴薯,1116.73,1116.73,26322.1700858757,29394.757,
2013,嘉義縣,馬鈴薯,333.4,333.4,24147.2555488902,8050.695,
2013,屏東縣,馬鈴薯,0,0,0,0,
2013,台東縣,馬鈴薯,0.01,0.01,5000,0.05,
2013,花蓮縣,馬鈴薯,0.1,0.1,17000,1.7,
2013,澎湖縣,馬鈴薯,0,0,0,0,
2013,基隆市,馬鈴薯,0,0,0,0,
2013,新竹市,馬鈴薯,0,0,0,0,
2013,嘉義市,馬鈴薯,6.7,6.7,16000,107.2,
2013,金門縣,馬鈴薯,0.75,0.75,18680,14.01,
2013,連江縣,馬鈴薯,0,0,0,0,
2013,新北市,蔥,103.81,103.81,12134.0911280223,1259.64,
2013,台北市,蔥,9.55,9.55,11203.0366492147,106.989,
2013,台中市,蔥,185.08,185.08,18297.3254808731,3386.469,
2013,台南市,蔥,57.06,57.06,14970.9253417455,854.241,
2013,高雄市,蔥,188.31,188.31,15339.7960809304,2888.637,
2013,宜蘭縣,蔥,609.19,609.19,22737.0705362859,13851.196,
2013,桃園縣,蔥,40.76,40.76,15294.0382728165,623.385,
2013,新竹縣,蔥,43.68,43.68,17175.0457875458,750.206,
2013,苗栗縣,蔥,49.68,49.68,17224.5974235105,855.718,
2013,彰化縣,蔥,1656.37,1646.97,25103.2356387791,41344.276,
2013,南投縣,蔥,17.35,17.35,13337.6945244957,231.409,
2013,雲林縣,蔥,1527.48,1527.48,21980.3388587739,33574.528,
2013,嘉義縣,蔥,86.42,86.42,15918.2365193242,1375.654,
2013,屏東縣,蔥,56.38,56.38,16193.614757006,912.996,
2013,台東縣,蔥,5.09,5.09,15559.5284872299,79.198,
2013,花蓮縣,蔥,29.91,29.91,11750.852557673,351.468,
2013,澎湖縣,蔥,26.01,26.01,7778.31603229527,202.314,
2013,基隆市,蔥,0.46,0.46,9847.82608695652,4.53,
2013,新竹市,蔥,6.48,6.48,16659.8765432099,107.956,
2013,嘉義市,蔥,0,0,0,0,
2013,金門縣,蔥,1.52,1.52,18450.6578947368,28.045,
2013,連江縣,蔥,0,0,0,0,
2013,新北市,蔥頭,0,0,0,0,
2013,台北市,蔥頭,0,0,0,0,
2013,台中市,蔥頭,0,0,0,0,
2013,台南市,蔥頭,1435.25,1435.25,11816.9399059397,16960.263,
2013,高雄市,蔥頭,0.02,0.02,8000,0.16,
2013,宜蘭縣,蔥頭,0.9,0.9,24000,21.6,
2013,桃園縣,蔥頭,0,0,0,0,
2013,新竹縣,蔥頭,0.01,0.01,15000,0.15,
2013,苗栗縣,蔥頭,0,0,0,0,
2013,彰化縣,蔥頭,9.83,9.83,7005.08646998983,68.86,
2013,南投縣,蔥頭,0,0,0,0,
2013,雲林縣,蔥頭,19.57,19.57,10637.9151762902,208.184,
2013,嘉義縣,蔥頭,3.3,3.3,10363.6363636364,34.2,
2013,屏東縣,蔥頭,0,0,0,0,
2013,台東縣,蔥頭,0.5,0.5,7000,3.5,
2013,花蓮縣,蔥頭,0,0,0,0,
2013,澎湖縣,蔥頭,0,0,0,0,
2013,基隆市,蔥頭,0,0,0,0,
2013,新竹市,蔥頭,0,0,0,0,
2013,嘉義市,蔥頭,0,0,0,0,
2013,金門縣,蔥頭,0,0,0,0,
2013,連江縣,蔥頭,0,0,0,0,
2013,新北市,洋蔥,0,0,0,0,
2013,台北市,洋蔥,0,0,0,0,
2013,台中市,洋蔥,0.8,0.8,41500,33.2,
2013,台南市,洋蔥,7.52,7.52,40517.9521276596,304.695,
2013,高雄市,洋蔥,70.32,70.32,51200,3600.384,
2013,宜蘭縣,洋蔥,0,0,0,0,
2013,桃園縣,洋蔥,0,0,0,0,
2013,新竹縣,洋蔥,0,0,0,0,
2013,苗栗縣,洋蔥,0,0,0,0,
2013,彰化縣,洋蔥,248.12,248.12,48355.6182492342,11997.996,
2013,南投縣,洋蔥,0,0,0,0,
2013,雲林縣,洋蔥,199.15,199.15,34884.6899322119,6947.286,
2013,嘉義縣,洋蔥,60.21,60.21,51194.98422189,3082.45,
2013,屏東縣,洋蔥,541.82,541.82,43976.9019231479,23827.565,
2013,台東縣,洋蔥,32,32,45000,1440,
2013,花蓮縣,洋蔥,0,0,0,0,
2013,澎湖縣,洋蔥,0,0,0,0,
2013,基隆市,洋蔥,0,0,0,0,
2013,新竹市,洋蔥,0,0,0,0,
2013,嘉義市,洋蔥,0,0,0,0,
2013,新北市,韭菜,29.77,29.77,12828.4178703393,381.902,
2013,台北市,韭菜,0.05,0.05,4500,0.225,
2013,台中市,韭菜,18.82,18.82,15332.9968119022,288.567,
2013,台南市,韭菜,1.05,1.05,10109.5238095238,10.615,
2013,高雄市,韭菜,6.89,6.89,19965.1669085631,137.56,
2013,宜蘭縣,韭菜,37.49,37.49,15610.7762069885,585.248,
2013,桃園縣,韭菜,92.6,92.4,48887.987012987,4517.25,
2013,新竹縣,韭菜,9.38,9.38,15852.0255863539,148.692,
2013,苗栗縣,韭菜,2.23,2.23,15967.7130044843,35.608,
2013,彰化縣,韭菜,675.12,675.12,50393.9121933878,34021.938,
2013,南投縣,韭菜,1.32,1.32,29727.2727272727,39.24,
2013,雲林縣,韭菜,0.32,0.32,16312.5,5.22,
2013,嘉義縣,韭菜,0.3,0.3,10000,3,
2013,屏東縣,韭菜,14.36,14.36,11574.0947075209,166.204,
2013,台東縣,韭菜,3.23,3.23,18170.2786377709,58.69,
2013,花蓮縣,韭菜,62.34,62.34,16219.9230028874,1011.15,
2013,澎湖縣,韭菜,0,0,0,0,
2013,基隆市,韭菜,0.56,0.56,9517.85714285714,5.33,
2013,新竹市,韭菜,0.31,0.31,14177.4193548387,4.395,
2013,嘉義市,韭菜,0,0,0,0,
2013,新北市,蒜,32.44,32.44,12762.5462392109,414.017,
2013,台北市,蒜,0.9,0.9,1133.33333333333,1.02,
2013,台中市,蒜,2.23,2.23,17581.6143497758,39.207,
2013,台南市,蒜,0.21,0.21,20000,4.2,
2013,高雄市,蒜,4.37,4.37,17628.3752860412,77.036,
2013,宜蘭縣,蒜,173.31,173.31,21190.3929375108,3672.507,
2013,桃園縣,蒜,1.18,1.18,13777.9661016949,16.258,
2013,新竹縣,蒜,12.53,12.53,15522.7454110136,194.5,
2013,苗栗縣,蒜,9.24,9.24,10844.1558441558,100.2,
2013,彰化縣,蒜,107.32,107.32,17655.795751025,1894.82,
2013,南投縣,蒜,170.05,170.05,12736.6068803293,2165.86,
2013,雲林縣,蒜,272.5,272.5,20223.9486238532,5511.026,
2013,嘉義縣,蒜,14.51,14.51,15891.7987594762,230.59,
2013,屏東縣,蒜,0.05,0.05,17000,0.85,
2013,台東縣,蒜,8.21,8.21,17722.4116930572,145.501,
2013,花蓮縣,蒜,8.96,8.96,11119.4196428571,99.63,
2013,澎湖縣,蒜,2.96,2.96,10504.7297297297,31.094,
2013,基隆市,蒜,0.04,0.04,10075,0.403,
2013,新竹市,蒜,0.57,0.57,13314.0350877193,7.589,
2013,嘉義市,蒜,0,0,0,0,
2013,新北市,蒜頭,0,0,0,0,
2013,台北市,蒜頭,0,0,0,0,
2013,台中市,蒜頭,0.18,0.18,7000,1.26,
2013,台南市,蒜頭,288.17,288.17,8014.43592323975,2309.52,
2013,高雄市,蒜頭,0.03,0.03,6700,0.201,
2013,宜蘭縣,蒜頭,0,0,0,0,
2013,桃園縣,蒜頭,0,0,0,0,
2013,新竹縣,蒜頭,0,0,0,0,
2013,苗栗縣,蒜頭,0,0,0,0,
2013,彰化縣,蒜頭,193.54,193.54,8146.2230029968,1576.62,
2013,南投縣,蒜頭,0,0,0,0,
2013,雲林縣,蒜頭,4004.15,4004.15,9940.56516364272,39803.514,
2013,嘉義縣,蒜頭,18.62,18.62,10181.149301826,189.573,
2013,屏東縣,蒜頭,0.1,0.1,7000,0.7,
2013,台東縣,蒜頭,1.28,1.28,6515.625,8.34,
2013,花蓮縣,蒜頭,0,0,0,0,
2013,澎湖縣,蒜頭,0,0,0,0,
2013,基隆市,蒜頭,0,0,0,0,
2013,新竹市,蒜頭,0,0,0,0,
2013,嘉義市,蒜頭,0,0,0,0,
2013,金門縣,蒜頭,0.91,0.91,4584.61538461538,4.172,
2013,連江縣,蒜頭,0,0,0,0,
2013,新北市,荸薺,0,0,0,0,
2013,台北市,荸薺,0,0,0,0,
2013,台中市,荸薺,0,0,0,0,
2013,台南市,荸薺,1.8,1.8,18000,32.4,
2013,高雄市,荸薺,0,0,0,0,
2013,宜蘭縣,荸薺,0,0,0,0,
2013,桃園縣,荸薺,0.02,0.02,10000,0.2,
2013,新竹縣,荸薺,0,0,0,0,
2013,苗栗縣,荸薺,0,0,0,0,
2013,彰化縣,荸薺,3.8,3.8,18815.7894736842,71.5,
2013,南投縣,荸薺,0,0,0,0,
2013,雲林縣,荸薺,0,0,0,0,
2013,嘉義縣,荸薺,5.57,5.57,16256.7324955117,90.55,
2013,屏東縣,荸薺,0,0,0,0,
2013,台東縣,荸薺,0,0,0,0,
2013,花蓮縣,荸薺,0,0,0,0,
2013,澎湖縣,荸薺,0,0,0,0,
2013,基隆市,荸薺,0,0,0,0,
2013,新竹市,荸薺,0,0,0,0,
2013,嘉義市,荸薺,0,0,0,0,
2013,金門縣,荸薺,0,0,0,0,
2013,連江縣,荸薺,0,0,0,0,
2013,新北市,竹筍,3171.96,3148.2,4644.27196493234,14621.097,
2013,台北市,竹筍,885.43,885.43,3929.95267835967,3479.698,
2013,台中市,竹筍,973.84,967.84,9691.93668374938,9380.244,
2013,台南市,竹筍,3853.19,3848.98,10309.1938643485,39679.881,
2013,高雄市,竹筍,1699.95,1695.85,12317.7698499278,20889.09,
2013,宜蘭縣,竹筍,251.81,251.81,12283.4597513999,3093.098,
2013,桃園縣,竹筍,984.79,972.09,5143.74594944913,5000.184,
2013,新竹縣,竹筍,421.7,421.7,6784.34906331515,2860.96,
2013,苗栗縣,竹筍,551.48,551.48,11679.5350692682,6441.03,
2013,彰化縣,竹筍,345.35,342.15,16964.9773491159,5804.567,
2013,南投縣,竹筍,2336.99,2336.99,10551.1461324182,24657.923,
2013,雲林縣,竹筍,3933.83,3932.03,21597.2322184724,84920.965,
2013,嘉義縣,竹筍,4821.01,4821.01,6779.78120767225,32685.393,
2013,屏東縣,竹筍,452.58,452.52,12674.1447891806,5735.304,
2013,台東縣,竹筍,242.13,241.93,6154.0569586244,1488.851,

